time (min),bacterium area (pixels),bacterium area (µm^2)
969,1271,3.436784
970,1277,3.4530079999999996
971,1295,3.50168
972,743,2.0090719999999997
973,748,2.022592
974,753,2.0361119999999997
975,759,2.052336
976,759,2.052336
977,763,2.0631519999999997
978,771,2.084784
979,775,2.0955999999999997
980,791,2.138864
981,785,2.1226399999999996
982,796,2.1523839999999996
983,796,2.1523839999999996
984,804,2.174016
985,808,2.1848319999999997
986,815,2.20376
987,823,2.225392
988,820,2.2172799999999997
989,826,2.233504
990,835,2.25784
991,840,2.27136
992,840,2.27136
993,846,2.287584
994,855,2.3119199999999998
995,857,2.317328
996,867,2.344368
997,867,2.344368
998,869,2.349776
999,880,2.37952
1000,889,2.4038559999999998
1001,888,2.4011519999999997
1002,897,2.4254879999999996
1003,904,2.444416
1004,902,2.439008
1005,903,2.441712
1006,918,2.482272
1007,932,2.5201279999999997
1008,934,2.525536
1009,930,2.5147199999999996
1010,940,2.54176
1011,943,2.5498719999999997
1012,953,2.5769119999999996
1013,955,2.5823199999999997
1014,962,2.601248
1015,973,2.630992
1016,971,2.625584
1017,980,2.64992
1018,982,2.655328
1019,999,2.7012959999999997
1020,1002,2.709408
1021,1001,2.7067039999999998
1022,1013,2.739152
1023,1024,2.768896
1024,1033,2.7932319999999997
1025,1035,2.79864
1026,1034,2.7959359999999998
1027,1046,2.828384
1028,1054,2.8500159999999997
1029,1062,2.871648
1030,1066,2.8824639999999997
1031,1065,2.8797599999999997
1032,1082,2.925728
1033,1095,2.96088
1034,1092,2.952768
1035,1102,2.979808
1036,1108,2.9960319999999996
1037,1124,3.0392959999999998
1038,1131,3.0582239999999996
1039,1137,3.074448
1040,1148,3.104192
1041,1146,3.0987839999999998
1042,1151,3.112304
1043,1152,3.1150079999999996
1044,1169,3.160976
1045,1181,3.193424
1046,1179,3.1880159999999997
1047,1185,3.20424
1048,1184,3.201536
1049,1202,3.2502079999999998
1050,1203,3.252912
1051,1208,3.2664319999999996
1052,1209,3.2691359999999996
1053,1221,3.3015839999999996
1054,1223,3.3069919999999997
1055,1232,3.3313279999999996
1056,1244,3.3637759999999997
1057,1253,3.3881119999999996
1058,1263,3.415152
1059,1271,3.436784
1060,1295,3.50168
1061,1274,3.444896
1062,1298,3.5097919999999996
1063,1305,3.52872
1064,1322,3.5746879999999996
1065,1324,3.5800959999999997
1066,0,0.0
1067,763,2.0631519999999997
1068,757,2.046928
1069,774,2.0928959999999996
1070,768,2.076672
1071,781,2.111824
1072,785,2.1226399999999996
1073,785,2.1226399999999996
1074,796,2.1523839999999996
1075,789,2.133456
1076,791,2.138864
1077,801,2.165904
1078,804,2.174016
1079,799,2.1604959999999997
1080,811,2.192944
1081,814,2.201056
1082,820,2.2172799999999997
1083,834,2.255136
1084,838,2.265952
1085,839,2.268656
1086,844,2.2821759999999998
1087,855,2.3119199999999998
1088,858,2.320032
1089,861,2.328144
1090,876,2.3687039999999997
1091,875,2.3659999999999997
1092,876,2.3687039999999997
1093,883,2.387632
1094,895,2.42008
1095,901,2.436304
1096,906,2.449824
1097,911,2.4633439999999998
1098,911,2.4633439999999998
1099,911,2.4633439999999998
1100,929,2.512016
1101,936,2.530944
1102,930,2.5147199999999996
1103,942,2.5471679999999997
1104,941,2.5444639999999996
1105,952,2.5742079999999996
1106,959,2.593136
1107,964,2.6066559999999996
1108,974,2.6336959999999996
1109,986,2.6661439999999996
1110,984,2.660736
1111,985,2.66344
1112,993,2.685072
1113,1000,2.7039999999999997
1114,1003,2.712112
1115,1014,2.741856
1116,1019,2.7553759999999996
1117,1027,2.777008
1118,1032,2.7905279999999997
1119,1035,2.79864
1120,1049,2.836496
1121,1051,2.841904
1122,1055,2.8527199999999997
1123,1069,2.890576
1124,1077,2.9122079999999997
1125,1091,2.950064
1126,1092,2.952768
1127,1098,2.9689919999999996
1128,1105,2.98792
1129,1107,2.993328
1130,1114,3.012256
1131,1126,3.044704
1132,1132,3.0609279999999996
1133,1138,3.077152
1134,1143,3.0906719999999996
1135,1152,3.1150079999999996
1136,1158,3.131232
1137,1161,3.139344
1138,1167,3.1555679999999997
1139,1176,3.1799039999999996
1140,1179,3.1880159999999997
1141,1193,3.225872
1142,1199,3.2420959999999996
1143,1210,3.2718399999999996
1144,1217,3.290768
1145,1233,3.3340319999999997
1146,1231,3.3286239999999996
1147,1251,3.382704
1148,1269,3.4313759999999998
1149,1280,3.4611199999999998
1150,1290,3.4881599999999997
1151,1295,3.50168
1152,1302,3.5206079999999997
1153,1317,3.561168
1154,1318,3.563872
1155,1337,3.615248
1156,1337,3.615248
1157,1346,3.6395839999999997
1158,1339,3.620656
1159,1353,3.6585119999999995
1160,743,2.0090719999999997
1161,752,2.0334079999999997
1162,744,2.011776
1163,751,2.030704
1164,757,2.046928
1165,756,2.044224
1166,765,2.0685599999999997
1167,775,2.0955999999999997
1168,775,2.0955999999999997
1169,0,0.0
1170,788,2.1307519999999998
1171,773,2.090192
1172,793,2.144272
1173,797,2.1550879999999997
1174,804,2.174016
1175,813,2.198352
1176,818,2.211872
1177,821,2.2199839999999997
1178,823,2.225392
1179,829,2.241616
1180,832,2.2497279999999997
1181,836,2.260544
1182,847,2.290288
1183,847,2.290288
1184,851,2.301104
1185,867,2.344368
1186,870,2.35248
1187,884,2.390336
1188,884,2.390336
1189,888,2.4011519999999997
1190,890,2.40656
1191,892,2.411968
1192,902,2.439008
1193,906,2.449824
1194,918,2.482272
1195,928,2.509312
1196,926,2.503904
1197,940,2.54176
1198,941,2.5444639999999996
1199,947,2.560688
1200,948,2.563392
1201,948,2.563392
1202,959,2.593136
1203,963,2.6039519999999996
1204,967,2.6147679999999998
1205,987,2.6688479999999997
1206,983,2.658032
1207,989,2.6742559999999997
1208,995,2.69048
1209,1006,2.720224
1210,1004,2.714816
1211,1012,2.7364479999999998
1212,1019,2.7553759999999996
1213,1027,2.777008
1214,1030,2.7851199999999996
1215,1046,2.828384
1216,1044,2.8229759999999997
